FRU Information,EEPROM Address,Data Byte,Target Page Size,Remarks
FRU Initialized,0001,00,128,
EEROM Write Protect,0002,00,128,
EEPROM Version,0004,0200,128,
ADI Data Set (Ph-2 GUI),0006,00,128,
Manufacturer's Name,0020,536F6C614844,128,SolaHD
Product Name,002F,53434D2D452D454950,128,SCM-E-EIP
Serial Number,003E,952E4301,32,21180053
Manufacturing Info,004D,952E4301,32,21180053
Model Revision,005C,41543031,128,AT02
Alarm Enable,0080,0000000000,128,00
SCM Internal Temp Limit,00A0,9600,128,150
SCM Average Percentage Temp Limit,00A2,E803,128,1000
PSU1 Iout Limit,0100,204E,128,20000
PSU1 Internal Temp Limit,0102,DC05,128,1500
PSU1 Vin High Limit,0104,2C01,128,300
PSU1 Vin Low Limit,0106,3200,128,50
PSU1 Average Percentage Iout Limit,0108,E803,128,1000
PSU2 Iout Limit,0160,204E,128,20000
PSU2 Internal Temp Limit,0162,DC05,128,1500
PSU2 Vin High Limit,0164,2C01,128,300
PSU2 Vin Low Limit,0166,3200,128,50
PSU2 Average Percentage Iout Limit,0168,E803,128,1000
EEPROM Unmodified,0001,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,128,
