FRU Information,EEPROM Address,Data Byte,Target Page Size,Remarks
EEPROM Major Version,0,2,128,
EEPROM Minor Version,1,1,128,
nInitialized,2,0,128,
nWriteProtect,3,0,128,
Product Name,0022,5344552032303234422D454950,128,
Serial Number,0032,A9858001,32,
Manufacturing Info,003C,A9858001,32,
Manufacturer Name,0046,534455203230,128,
Model Revision,0056,4141,128,
FW Major Rev,0058,01,128,
MCU FW Minor Rev,005A,01,128,
Lifetime Turn On Time,00A0,0,128,
Alarm Enable Flags,0120,0,128,
Temperature High,0124,32,128,
Battery Charge Low,0126,14,128,
Battery Runtime Low,0128,78,128,
User System Name,01A0,534455204443205550532077697468,128,
User Device Name,01B0,5344552032303234422D454950,128,
Battery Type,01CO,0,128,
Temperature Unit,01C2,0,128,
Configuration Flags,0220,0,128,
PC Shutdown_Enable/Disable,0225,0,128,
Scheduled Shutdown,0227,0,128,
PC Shutdown Delay Count_Enable/Disable,022F,0,128,
Restart Period,0231,0,128,
Event Buffer Length,02A0,0,128,
Event Write Index,02A2,0,128,
Event Read Index,02A4,0,128,
Ambient Temp C.C 0,05E0,0,128,
Ambient Temp C.C 1,05E4,0,128,
BEM FET Temp C.C 0,0600,0,128,
BEM FET Temp C.C 1,0604,0,128,
Flyback TRF Temp C.C 0,0620,0,128,
Flyback TRF Temp C.C 1,0624,0,128,
Event Data 1,02C0,FF,128,
,=B36+0008,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
